Date,Lieu,Ville,Type,Prix,Artiste,Image
16 mars 2023,ALHAMBRA,PARIS,CONCERT - POP ROCK FOLK,26.4,"""MELODYS ECHO CHAMBER""",https://static.ticketmaster.fr/static/images/vignettes/a_536807.gif
16 mars 2023,HALLE TONY GARNIER,LYON,CONCERT - POP ROCK FOLK,41.8,LOUISE ATTAQUE,https://static.ticketmaster.fr/static/images/vignettes/n_louise-attaque.gif
16 mars 2023,ZENITH TOULOUSE METROPOLE,TOULOUSE,CONCERT - RAP HIP-HOP SLAM,39.0,LOMEPAL,https://static.ticketmaster.fr/static/images/vignettes/n_lomepal.gif
16 mars 2023,LE FERRAILLEUR,NANTES,CONCERT - HARD METAL,32.3,HAKEN- BETWEEN THE BURIED AND ME,https://static.ticketmaster.fr/static/images/vignettes/a_534581.gif
16 mars 2023,ESPACE GEORGE SAND,CHECY,CONCERT - VARIETE ET CHANSON FRANCAISE,6.0,LES GEANTES,https://static.ticketmaster.fr/static/images/vignettes/a_534580.gif
16 mars 2023,SALLE MARCEL SEMBAT,CHALON SUR SAONE,CONCERT - VARIETE ET CHANSON FRANCAISE,31.0,YVES JAMAIT,https://static.ticketmaster.fr/static/images/vignettes/n_yves-jamait.gif
16 mars 2023,6MIC,AIX EN PROVENCE,CONCERT - POP ROCK FOLK,14.0,TH DA FREAK,https://static.ticketmaster.fr/static/images/vignettes/a_533262.gif
16 mars 2023,ZENITH DE DIJON,DIJON,CONCERT - VARIETE ET CHANSON FRANCAISE,39.0,JENIFER,https://static.ticketmaster.fr/static/images/vignettes/n_jenifer.gif
16 mars 2023,LA VAPEUR,DIJON,CONCERT - VARIETE ET CHANSON FRANCAISE,32.2,POMME,https://static.ticketmaster.fr/static/images/vignettes/n_pomme.gif
16 mars 2023,LE MAKEDA,MARSEILLE,CONCERT - RAP HIP-HOP SLAM,20.0,NAHIR,https://static.ticketmaster.fr/static/images/vignettes/n_nahir.gif
16 mars 2023,LE FIL,ST ETIENNE,CONCERT - POP ROCK FOLK,27.2,THE STRANGLERS,https://static.ticketmaster.fr/static/images/vignettes/n_the-stranglers.gif
16 mars 2023,LE TRIANON,PARIS,CONCERT - VARIETE ET CHANSON FRANCAISE,29.5,CANINE,https://static.ticketmaster.fr/static/images/vignettes/a_527269.gif
16 mars 2023,LE BIKINI,RAMONVILLE ST AGNE,CONCERT - POP ROCK FOLK,33.0,MATMATAH,https://static.ticketmaster.fr/static/images/vignettes/n_matmatah.gif
16 mars 2023,THEATRE FEMINA,BORDEAUX,CONCERT - JAZZ,39.0,IBRAHIM MAALOUF- FRANCOIS DELPORTE,https://static.ticketmaster.fr/static/images/vignettes/n_ibrahim-maalouf.gif
16 mars 2023,LE CEPAC SILO,MARSEILLE,CONCERT - POP ROCK FOLK,46.5,QUEEN EXTRAVAGANZA,https://static.ticketmaster.fr/static/images/vignettes/n_queen-extravaganza.gif
16 mars 2023,LE TRABENDO (Parc de la Villette),PARIS,CONCERT - POP ROCK FOLK,24.0,LES LOUANGES,https://static.ticketmaster.fr/static/images/vignettes/a_522346.gif
